Entity,Code,Year,Adult obesity prevalence (%)
American Samoa,ASM,2024,75.81229
Cook Islands,COK,2024,72.41809
Tonga,TON,2024,72.26157
Nauru,NRU,2024,71.44844
Tokelau,TKL,2024,70.012
Niue,NIU,2024,66.24636
Tuvalu,TUV,2024,64.66571
Samoa,WSM,2024,63.1695
French Polynesia,PYF,2024,49.503017
Bahamas,BHS,2024,48.412167
Saint Kitts and Nevis,KNA,2024,47.88135
Micronesia (country),FSM,2024,46.823303
Kiribati,KIR,2024,45.300896
Belize,BLZ,2024,43.223587
Egypt,EGY,2024,42.83759
Qatar,QAT,2024,42.354057
Palau,PLW,2024,42.07973
Puerto Rico,PRI,2024,41.857464
United States,USA,2024,41.83032
Kuwait,KWT,2024,41.318832
