category,metric,value
retrieval,precision@1,0.2
retrieval,recall@1,0.18333333333333332
retrieval,f1@1,0.1888888888888889
retrieval,ndcg@1,0.2
retrieval,precision@3,0.07777777777777778
retrieval,recall@3,0.2
retrieval,f1@3,0.11
retrieval,ndcg@3,0.1973240263049396
retrieval,precision@5,0.05333333333333333
retrieval,recall@5,0.23333333333333334
retrieval,f1@5,0.08571428571428573
retrieval,ndcg@5,0.2102191198794243
retrieval,precision@8,0.041666666666666664
retrieval,recall@8,0.3
retrieval,f1@8,0.07259259259259258
retrieval,ndcg@8,0.23244134210164652
retrieval,mrr,0.21619047619047618
generation,exact_match,0.0
generation,bleu,0.012602628877764059
generation,rouge1,0.14198986027138558
generation,rouge2,0.03386984424328282
generation,rougeL,0.1000275671434472
generation,meteor,0.16261680229955958
generation,bertscore_precision,0.0
generation,bertscore_recall,0.0
generation,bertscore_f1,0.0
rag,faithfulness,0.9458333333333332
rag,context_precision,0.2306547619047619
rag,context_recall,0.21666666666666667
rag,answer_relevancy,0.9833333333333334
rag,judge_groundedness,4.416666666666667
rag,judge_relevance,5.0
rag,judge_hallucination,5.0
rag,judge_completeness,3.75
